Time,"T","Points:0","Points:1","Points:2"
0.0022,573.49,-1.2,0,0
0.0022,576.73,-1.1915,0,0
0.0022,580,-1.183,0,0
0.0022,583.31,-1.1745,0,0
0.0022,586.66,-1.166,0,0
0.0022,590.05,-1.1575,0,0
0.0022,593.48,-1.149,0,0
0.0022,596.95,-1.1405,0,0
0.0022,600.47,-1.132,0,0
0.0022,604.03,-1.1235,0,0
0.0022,607.63,-1.115,0,0
0.0022,611.28,-1.1065,0,0
0.0022,614.98,-1.098,0,0
0.0022,618.72,-1.0895,0,0
0.0022,622.5,-1.081,0,0
0.0022,626.34,-1.0725,0,0
0.0022,630.23,-1.064,0,0
0.0022,634.17,-1.0555,0,0
0.0022,638.16,-1.047,0,0
0.0022,642.2,-1.0385,0,0
0.0022,646.3,-1.03,0,0
0.0022,650.45,-1.0215,0,0
0.0022,654.65,-1.013,0,0
0.0022,658.92,-1.0045,0,0
0.0022,663.24,-0.996,0,0
0.0022,667.62,-0.9875,0,0
0.0022,672.06,-0.979,0,0
0.0022,676.57,-0.9705,0,0
0.0022,681.13,-0.962,0,0
0.0022,685.76,-0.9535,0,0
0.0022,690.46,-0.945,0,0
0.0022,695.22,-0.9365,0,0
0.0022,700.06,-0.928,0,0
0.0022,704.96,-0.9195,0,0
0.0022,709.93,-0.911,0,0
0.0022,714.98,-0.9025,0,0
0.0022,720.1,-0.894,0,0
0.0022,725.31,-0.8855,0,0
0.0022,730.58,-0.877,0,0
0.0022,735.94,-0.8685,0,0
0.0022,741.38,-0.86,0,0
0.0022,746.9,-0.8515,0,0
0.0022,752.51,-0.843,0,0
0.0022,758.21,-0.8345,0,0
0.0022,764,-0.826,0,0
0.0022,769.88,-0.8175,0,0
0.0022,775.86,-0.809,0,0
0.0022,781.92,-0.8005,0,0
0.0022,788.09,-0.792,0,0
0.0022,794.37,-0.7835,0,0
0.0022,800.73,-0.775,0,0
0.0022,807.22,-0.7665,0,0
0.0022,813.81,-0.758,0,0
0.0022,820.51,-0.7495,0,0
0.0022,827.33,-0.741,0,0
0.0022,834.27,-0.7325,0,0
0.0022,841.32,-0.724,0,0
0.0022,848.51,-0.7155,0,0
0.0022,855.81,-0.707,0,0
0.0022,863.25,-0.6985,0,0
0.0022,870.83,-0.69,0,0
0.0022,878.53,-0.6815,0,0
0.0022,886.39,-0.673,0,0
0.0022,894.39,-0.6645,0,0
0.0022,902.53,-0.656,0,0
0.0022,910.84,-0.6475,0,0
0.0022,919.3,-0.639,0,0
0.0022,927.93,-0.6305,0,0
0.0022,936.73,-0.622,0,0
0.0022,945.69,-0.6135,0,0
0.0022,954.83,-0.605,0,0
0.0022,964.16,-0.5965,0,0
0.0022,973.67,-0.588,0,0
0.0022,983.39,-0.5795,0,0
0.0022,993.3,-0.571,0,0
0.0022,1003.4,-0.5625,0,0
0.0022,1013.8,-0.554,0,0
0.0022,1024.3,-0.5455,0,0
0.0022,1035.1,-0.537,0,0
0.0022,1046.1,-0.5285,0,0
0.0022,1057.4,-0.52,0,0
0.0022,1068.9,-0.5115,0,0
0.0022,1080.7,-0.503,0,0
0.0022,1092.7,-0.4945,0,0
0.0022,1105,-0.486,0,0
0.0022,1117.6,-0.4775,0,0
0.0022,1130.5,-0.469,0,0
0.0022,1143.7,-0.4605,0,0
0.0022,1157.3,-0.452,0,0
0.0022,1171.1,-0.4435,0,0
0.0022,1185.3,-0.435,0,0
0.0022,1199.9,-0.4265,0,0
0.0022,1214.8,-0.418,0,0
0.0022,1230.1,-0.4095,0,0
0.0022,1245.8,-0.401,0,0
0.0022,1262,-0.3925,0,0
0.0022,1278.5,-0.384,0,0
0.0022,1295.5,-0.3755,0,0
0.0022,1313,-0.367,0,0
0.0022,1331,-0.3585,0,0
0.0022,1349.5,-0.35,0,0
0.0022,1368.5,-0.3415,0,0
0.0022,1388,-0.333,0,0
0.0022,1408.2,-0.3245,0,0
0.0022,1428.9,-0.316,0,0
0.0022,1450.3,-0.3075,0,0
0.0022,1472.3,-0.299,0,0
0.0022,1495.1,-0.2905,0,0
0.0022,1518.5,-0.282,0,0
0.0022,1542.7,-0.2735,0,0
0.0022,1567.8,-0.265,0,0
0.0022,1593.6,-0.2565,0,0
0.0022,1620.3,-0.248,0,0
0.0022,1648,-0.2395,0,0
0.0022,1676.6,-0.231,0,0
0.0022,1706.3,-0.2225,0,0
0.0022,1737,-0.214,0,0
0.0022,1768.9,-0.2055,0,0
0.0022,1802,-0.197,0,0
0.0022,1836.4,-0.1885,0,0
0.0022,1872.1,-0.18,0,0
0.0022,1909.3,-0.1715,0,0
0.0022,1947.9,-0.163,0,0
0.0022,1988.2,-0.1545,0,0
0.0022,2030,-0.146,0,0
0.0022,2073.2,-0.1375,0,0
0.0022,2118.1,-0.129,0,0
0.0022,2163.9,-0.1205,0,0
0.0022,2210.1,-0.112,0,0
0.0022,2255.5,-0.1035,0,0
0.0022,2298.4,-0.095,0,0
0.0022,2336.2,-0.0865,0,0
0.0022,2364.9,-0.078,0,0
0.0022,2381.4,-0.0695,0,0
0.0022,2378.5,-0.061,0,0
0.0022,2351.9,-0.0525,0,0
0.0022,2298.7,-0.044,0,0
0.0022,2209.7,-0.0355,0,0
0.0022,2088.1,-0.027,0,0
0.0022,1935.1,-0.0185,0,0
0.0022,1750.6,-0.01,0,0
0.0022,1546.4,-0.0015,0,0
0.0022,1330.1,0.007,0,0
0.0022,1112.4,0.0155,0,0
0.0022,903.12,0.024,0,0
0.0022,712.05,0.0325,0,0
0.0022,545.36,0.041,0,0
0.0022,404.16,0.0495,0,0
0.0022,293.18,0.058,0,0
0.0022,207.68,0.0665,0,0
0.0022,143.64,0.075,0,0
0.0022,100.67,0.0835,0,0
0.0022,70.97,0.092,0,0
0.0022,51.618,0.1005,0,0
0.0022,40.177,0.109,0,0
0.0022,33.158,0.1175,0,0
0.0022,29.217,0.126,0,0
0.0022,27.139,0.1345,0,0
0.0022,26.009,0.143,0,0
0.0022,25.468,0.1515,0,0
0.0022,25.21,0.16,0,0
0.0022,25.086,0.1685,0,0
0.0022,25.036,0.177,0,0
0.0022,25.014,0.1855,0,0
0.0022,25.005,0.194,0,0
0.0022,25.002,0.2025,0,0
0.0022,25.001,0.211,0,0
0.0022,25,0.2195,0,0
0.0022,25,0.228,0,0
0.0022,25,0.2365,0,0
0.0022,25,0.245,0,0
0.0022,25,0.2535,0,0
0.0022,25,0.262,0,0
0.0022,25,0.2705,0,0
0.0022,25,0.279,0,0
0.0022,25,0.2875,0,0
0.0022,25,0.296,0,0
0.0022,25,0.3045,0,0
0.0022,25,0.313,0,0
0.0022,25,0.3215,0,0
0.0022,25,0.33,0,0
0.0022,25,0.3385,0,0
0.0022,25,0.347,0,0
0.0022,25,0.3555,0,0
0.0022,25,0.364,0,0
0.0022,25,0.3725,0,0
0.0022,25,0.381,0,0
0.0022,25,0.3895,0,0
0.0022,25,0.398,0,0
0.0022,25,0.4065,0,0
0.0022,25,0.415,0,0
0.0022,25,0.4235,0,0
0.0022,25,0.432,0,0
0.0022,25,0.4405,0,0
0.0022,25,0.449,0,0
0.0022,25,0.4575,0,0
0.0022,25,0.466,0,0
0.0022,25,0.4745,0,0
0.0022,25,0.483,0,0
0.0022,25,0.4915,0,0
0.0022,25,0.5,0,0
