t,uh
0.0,1978.1
0.007812,1960.852
0.015625,1944.023
0.023437,1927.622
0.03125,1911.632
0.039062,1896.035
0.046875,1880.817
0.054687,1865.962
0.0625,1851.455
0.070312,1837.284
0.078125,1823.436
0.085937,1809.899
0.09375,1796.662
0.101562,1783.713
0.109375,1771.043
0.117187,1758.641
0.125,1746.498
0.132812,1734.606
0.140625,1722.955
0.148437,1711.539
0.15625,1700.349
0.164062,1689.378
0.171875,1678.618
0.179687,1668.064
0.1875,1657.709
0.195312,1647.546
0.203125,1637.57
0.210937,1627.774
0.21875,1618.155
0.226562,1608.706
0.234375,1599.423
0.242187,1590.301
0.25,1581.334
0.257812,1572.52
0.265625,1563.853
0.273437,1555.33
0.28125,1546.947
0.289062,1538.699
0.296875,1530.584
0.304687,1522.597
0.3125,1514.736
0.320312,1506.997
0.328125,1499.377
0.335937,1491.873
0.34375,1484.482
0.351562,1477.202
0.359375,1470.029
0.367187,1462.961
0.375,1455.995
0.382812,1449.13
0.390625,1442.362
0.398437,1435.69
0.40625,1429.111
0.414062,1422.622
0.421875,1416.223
0.429687,1409.911
0.4375,1403.683
0.445312,1397.539
0.453125,1391.476
0.460937,1385.493
0.46875,1379.587
0.476562,1373.757
0.484375,1368.002
0.492187,1362.32
0.5,1356.709
0.507812,1351.168
0.515625,1345.695
0.523437,1340.29
0.53125,1334.95
0.539062,1329.675
0.546875,1324.463
0.554687,1319.313
0.5625,1314.223
0.570312,1309.193
0.578125,1304.221
0.585937,1299.307
0.59375,1294.448
0.601562,1289.645
0.609375,1284.896
0.617187,1280.199
0.625,1275.555
0.632812,1270.962
0.640625,1266.419
0.648437,1261.925
0.65625,1257.48
0.664062,1253.082
0.671875,1248.731
0.679687,1244.426
0.6875,1240.166
0.695312,1235.95
0.703125,1231.778
0.710937,1227.648
0.71875,1223.561
0.726562,1219.515
0.734375,1215.509
0.742187,1211.544
0.75,1207.617
0.757812,1203.73
0.765625,1199.88
0.773437,1196.068
0.78125,1192.293
0.789062,1188.554
0.796875,1184.851
0.804687,1181.183
0.8125,1177.549
0.820312,1173.95
0.828125,1170.384
0.835937,1166.85
0.84375,1163.35
0.851562,1159.881
0.859375,1156.444
0.867187,1153.038
0.875,1149.662
0.882812,1146.316
0.890625,1143.001
0.898437,1139.714
0.90625,1136.456
0.914062,1133.226
0.921875,1130.025
0.929687,1126.851
0.9375,1123.704
0.945312,1120.584
0.953125,1117.491
0.960937,1114.423
0.96875,1111.381
0.976562,1108.365
0.984375,1105.373
0.992187,1102.406
1,1099.463
